username,full_text,Label,cleaned_text,casefolding_text,norm_text,token_text,swremove_text,stem_text,Sentimen,mention,hashtag
arian_rndra,Ipda Joko Sutanto S.H. personel Sat Jibom Pasukan Gegana Korbrimob Polri berhasil menyumbangkan dua medali pada PON XXI Aceh-Sumut tahun 2024. Diketahui Ipda Joko berhasil mendapatkan medali emas dan medali perunggu pada cabang olahraga paramotor. https://t.co/HKzKr8EjEI,1,Ipda Joko Sutanto S H personel Sat Jibom Pasukan Gegana Korbrimob Polri berhasil menyumbangkan dua medali pada PON XXI Aceh Sumut tahun Diketahui Ipda Joko berhasil mendapatkan medali emas dan medali perunggu pada cabang olahraga paramotor,ipda joko sutanto s h personel sat jibom pasukan gegana korbrimob polri berhasil menyumbangkan dua medali pada pon xxi aceh sumut tahun diketahui ipda joko berhasil mendapatkan medali emas dan medali perunggu pada cabang olahraga paramotor,ipda joko sutanto s h personel sat jibom pasukan gegana korbrimob polri berhasil menyumbangkan dua medali pada pon xxi aceh sumut tahun diketahui ipda joko berhasil mendapatkan medali emas dan medali perunggu pada cabang olahraga paramotor,"['ipda', 'joko', 'sutanto', 's', 'h', 'personel', 'sat', 'jibom', 'pasukan', 'gegana', 'korbrimob', 'polri', 'berhasil', 'menyumbangkan', 'dua', 'medali', 'pada', 'pon', 'xxi', 'aceh', 'sumut', 'tahun', 'diketahui', 'ipda', 'joko', 'berhasil', 'mendapatkan', 'medali', 'emas', 'dan', 'medali', 'perunggu', 'pada', 'cabang', 'olahraga', 'paramotor']","['ipda', 'joko', 'sutanto', 's', 'h', 'personel', 'sat', 'jibom', 'pasukan', 'gegana', 'korbrimob', 'polri', 'berhasil', 'menyumbangkan', 'medali', 'pon', 'xxi', 'aceh', 'sumut', 'tahun', 'diketahui', 'ipda', 'joko', 'berhasil', 'mendapatkan', 'medali', 'emas', 'medali', 'perunggu', 'cabang', 'olahraga', 'paramotor']",ipda joko sutanto personel sat jibom pasu gegana korbrimob polri hasil sumbang medali pon xxi aceh sumut tahun tahu ipda joko hasil dapat medali emas medali perunggu cabang olahraga paramotor,Positif,[],[]
POLSEKMMS2022,Raih 3 Emas PON 2024 Pencapaian Karateka Sumut Lebihi Target,1,Raih Emas PON Pencapaian Karateka Sumut Lebihi Target,raih emas pon pencapaian karateka sumut lebihi target,raih emas pon pencapaian karateka sumut lebihi target,"['raih', 'emas', 'pon', 'pencapaian', 'karateka', 'sumut', 'lebihi', 'target']","['raih', 'emas', 'pon', 'pencapaian', 'karateka', 'sumut', 'lebihi', 'target']",raih emas pon capai karateka sumut lebih target,Positif,[],[]
POLSEKMMS2022,Profil Aisha Hakim Putri Irfan Hakim yang Meraih Medali Emas PON 2024,0,Profil Aisha Hakim Putri Irfan Hakim yang Meraih Medali Emas PON,profil aisha hakim putri irfan hakim yang meraih medali emas pon,profil aisha hakim putri irfan hakim yang meraih medali emas pon,"['profil', 'aisha', 'hakim', 'putri', 'irfan', 'hakim', 'yang', 'meraih', 'medali', 'emas', 'pon']","['profil', 'aisha', 'hakim', 'putri', 'irfan', 'hakim', 'meraih', 'medali', 'emas', 'pon']",profil aisha hakim putri irfan hakim raih medali emas pon,Netral,[],[]
POLSEKMMS2022,@GheaAlivia22 PON 2024 menjadi kesempatan emas untuk menampilkan kesiapan infrastruktur olahraga terbaik di Aceh #PONKita2024,1,PON menjadi kesempatan emas untuk menampilkan kesiapan infrastruktur olahraga terbaik di Aceh,pon menjadi kesempatan emas untuk menampilkan kesiapan infrastruktur olahraga terbaik di aceh,pon menjadi kesempatan emas untuk menampilkan kesiapan infrastruktur olahraga terbaik di aceh,"['pon', 'menjadi', 'kesempatan', 'emas', 'untuk', 'menampilkan', 'kesiapan', 'infrastruktur', 'olahraga', 'terbaik', 'di', 'aceh']","['pon', 'menjadi', 'kesempatan', 'emas', 'menampilkan', 'kesiapan', 'infrastruktur', 'olahraga', 'terbaik', 'aceh']",pon jadi sempat emas tampil kesiap infrastruktur olahraga baik aceh,Positif,['@GheaAlivia22'],['#PONKita2024']
IDNTimesSumut,@GheaAlivia22 Venue PON 2024 udah dipastikan siap tinggal nunggu pertarungan seru #PONKita2024,1,Venue PON udah dipastikan siap tinggal nunggu pertarungan seru,venue pon udah dipastikan siap tinggal nunggu pertarungan seru,venue pon sudah dipastikan siap tinggal nunggu pertarungan seru,"['venue', 'pon', 'sudah', 'dipastikan', 'siap', 'tinggal', 'nunggu', 'pertarungan', 'seru']","['venue', 'pon', 'dipastikan', 'siap', 'tinggal', 'nunggu', 'pertarungan', 'seru']",venue pon pasti siap tinggal nunggu tarung seru,Positif,['@GheaAlivia22'],['#PONKita2024']
SINDOnews,Atlet Tarung Derajat Jabar Borong Medali di PON 2024,1,Atlet Tarung Derajat Jabar Borong Medali di PON,atlet tarung derajat jabar borong medali di pon,atlet tarung derajat jabar borong medali di pon,"['atlet', 'tarung', 'derajat', 'jabar', 'borong', 'medali', 'di', 'pon']","['atlet', 'tarung', 'derajat', 'jabar', 'borong', 'medali', 'pon']",atlet tarung derajat jabar borong medali pon,Positif,[],[]
abmnyu_damar,Dengan kesiapan venue PON 2024 diharapkan acara ini akan berlangsung sukses dan lancar #PONKita2024,1,Dengan kesiapan venue PON diharapkan acara ini akan berlangsung sukses dan lancar,dengan kesiapan venue pon diharapkan acara ini akan berlangsung sukses dan lancar,dengan kesiapan venue pon diharapkan acara ini akan berlangsung sukses dan lancar,"['dengan', 'kesiapan', 'venue', 'pon', 'diharapkan', 'acara', 'ini', 'akan', 'berlangsung', 'sukses', 'dan', 'lancar']","['kesiapan', 'venue', 'pon', 'diharapkan', 'acara', 'akan', 'berlangsung', 'sukses', 'lancar']",kesiap venue pon harap acara akan langsung sukses lancar,Positif,[],['#PONKita2024']
rizki_wasitaa,Tim Basket 3x3 Putra Jawa Timur berhasil meraih medali emas PON XXI 2024 Aceh-Sumatera Utara usai mengalahkan Sulawesi Utara dengan skor 21-8. #PONXXI2024AcehSumut #BasketJatim #Basket3x3 #PONAcehSumut,1,Tim Basket x Putra Jawa Timur berhasil meraih medali emas PON XXI Aceh Sumatera Utara usai mengalahkan Sulawesi Utara dengan skor,tim basket x putra jawa timur berhasil meraih medali emas pon xxi aceh sumatera utara usai mengalahkan sulawesi utara dengan skor,tim basket x putra jawa timur berhasil meraih medali emas pon xxi aceh sumatera utara usai mengalahkan sulawesi utara dengan skor,"['tim', 'basket', 'x', 'putra', 'jawa', 'timur', 'berhasil', 'meraih', 'medali', 'emas', 'pon', 'xxi', 'aceh', 'sumatera', 'utara', 'usai', 'mengalahkan', 'sulawesi', 'utara', 'dengan', 'skor']","['tim', 'basket', 'x', 'putra', 'jawa', 'timur', 'berhasil', 'meraih', 'medali', 'emas', 'pon', 'xxi', 'aceh', 'sumatera', 'utara', 'usai', 'mengalahkan', 'sulawesi', 'utara', 'skor']",tim basket putra jawa timur hasil raih medali emas pon xxi aceh sumatera utara usai kalah sulawesi utara skor,Positif,[],"['#PONXXI2024AcehSumut', '#BasketJatim', '#Basket3x3', '#PONAcehSumut']"
SeputarBdgTimur,Prajurit TNI Divif 1 Kostrad Serka Nasrudin Sabet Medali Emas Cabor Menembak di PON 2024,1,Prajurit TNI Divif Kostrad Serka Nasrudin Sabet Medali Emas Cabor Menembak di PON,prajurit tni divif kostrad serka nasrudin sabet medali emas cabor menembak di pon,prajurit tni divif kostrad serka nasrudin sabet medali emas cabor menembak di pon,"['prajurit', 'tni', 'divif', 'kostrad', 'serka', 'nasrudin', 'sabet', 'medali', 'emas', 'cabor', 'menembak', 'di', 'pon']","['prajurit', 'tni', 'divif', 'kostrad', 'serka', 'nasrudin', 'sabet', 'medali', 'emas', 'cabor', 'menembak', 'pon']",prajurit tni divif kostrad serka nasrudin sabet medali emas cabor tembak pon,Positif,[],[]
maman_sutris,@perpusnas1 Mantap nih Perpusnas dukung PON 2024! Semangat buat atlet Indonesia!,1,Mantap nih Perpusnas dukung PON Semangat buat atlet Indonesia,mantap nih perpusnas dukung pon semangat buat atlet indonesia,mantap ini perpusnas dukung pon semangat buat atlet indonesia,"['mantap', 'ini', 'perpusnas', 'dukung', 'pon', 'semangat', 'buat', 'atlet', 'indonesia']","['mantap', 'perpusnas', 'dukung', 'pon', 'semangat', 'buat', 'atlet', 'indonesia']",mantap perpusnas dukung pon semangat buat atlet indonesia,Positif,['@perpusnas1'],[]
ngopibareng_id,Usai Bela Kalsel di PON 2024 Pegulat Putri Naturalisasi Putuskan Pensiun #PON2024AcehSumut #PON2024,0,Usai Bela Kalsel di PON Pegulat Putri Naturalisasi Putuskan Pensiun,usai bela kalsel di pon pegulat putri naturalisasi putuskan pensiun,usai bela kalsel di pon pegulat putri naturalisasi putuskan pensiun,"['usai', 'bela', 'kalsel', 'di', 'pon', 'pegulat', 'putri', 'naturalisasi', 'putuskan', 'pensiun']","['usai', 'bela', 'kalsel', 'pon', 'pegulat', 'putri', 'naturalisasi', 'putuskan', 'pensiun']",usai bela kalsel pon gulat putri naturalisasi putus pensiun,Netral,[],"['#PON2024AcehSumut', '#PON2024']"
VIVAbola,@AzkaAksara Venue PON 2024 ka dipersiapkan maksimal acara nyoe pasti sukses besar #PONKita2024,0,Venue PON ka dipersiapkan maksimal acara nyoe pasti sukses besar,venue pon ka dipersiapkan maksimal acara nyoe pasti sukses besar,venue pon ka dipersiapkan maksimal acara nyoe pasti sukses besar,"['venue', 'pon', 'ka', 'dipersiapkan', 'maksimal', 'acara', 'nyoe', 'pasti', 'sukses', 'besar']","['venue', 'pon', 'ka', 'dipersiapkan', 'maksimal', 'acara', 'nyoe', 'sukses', 'besar']",venue pon ka siap maksimal acara nyoe sukses besar,Netral,['@AzkaAksara'],['#PONKita2024']
vgbbh844,Raih 8 Emas Jawa Barat Juara Umum Cabor Arung Jeram PON 2024,1,Raih Emas Jawa Barat Juara Umum Cabor Arung Jeram PON,raih emas jawa barat juara umum cabor arung jeram pon,raih emas jawa barat juara umum cabor arung jeram pon,"['raih', 'emas', 'jawa', 'barat', 'juara', 'umum', 'cabor', 'arung', 'jeram', 'pon']","['raih', 'emas', 'jawa', 'barat', 'juara', 'umum', 'cabor', 'arung', 'jeram', 'pon']",raih emas jawa barat juara umum cabor arung jeram pon,Positif,[],[]
KK_Mediatech,"Jalaluddin menunjukkan kualitas permainan yang luar biasa di PON 2024 membawa Aceh semakin dekat dengan prestasi besar, asah terus agar meraih banyak medali dikemudian hari #PONKita2024",1,Jalaluddin menunjukkan kualitas permainan yang luar biasa di PON membawa Aceh semakin dekat dengan prestasi besar asah terus agar meraih banyak medali dikemudian hari,jalaluddin menunjukkan kualitas permainan yang luar biasa di pon membawa aceh semakin dekat dengan prestasi besar asah terus agar meraih banyak medali dikemudian hari,jalaluddin menunjukkan kualitas permainan yang luar biasa di pon membawa aceh semakin dekat dengan prestasi besar asah terus agar meraih banyak medali dikemudian hari,"['jalaluddin', 'menunjukkan', 'kualitas', 'permainan', 'yang', 'luar', 'biasa', 'di', 'pon', 'membawa', 'aceh', 'semakin', 'dekat', 'dengan', 'prestasi', 'besar', 'asah', 'terus', 'agar', 'meraih', 'banyak', 'medali', 'dikemudian', 'hari']","['jalaluddin', 'menunjukkan', 'kualitas', 'permainan', 'luar', 'biasa', 'pon', 'membawa', 'aceh', 'semakin', 'dekat', 'prestasi', 'besar', 'asah', 'terus', 'meraih', 'banyak', 'medali', 'dikemudian', 'hari']",jalaluddin tunjuk kualitas main luar biasa pon bawa aceh makin dekat prestasi besar asah terus raih banyak medali kemudi hari,Positif,[],['#PONKita2024']
dhikaa_syahreza,@MafiaWasit Ditunggu PON 2024 core nya yaa netijen,0,Ditunggu PON core nya yaa netijen,ditunggu pon core nya yaa netijen,ditunggu pon core nya yaa netijen,"['ditunggu', 'pon', 'core', 'nya', 'yaa', 'netijen']","['ditunggu', 'pon', 'core', 'nya', 'yaa', 'netijen']",tunggu pon core nya yaa netijen,Netral,['@MafiaWasit'],[]
VIVAbola,Hasil akhir renang PON 2024: DKI Jakarta raih medali terbanyak,1,Hasil akhir renang PON DKI Jakarta raih medali terbanyak,hasil akhir renang pon dki jakarta raih medali terbanyak,hasil akhir renang pon dki jakarta raih medali terbanyak,"['hasil', 'akhir', 'renang', 'pon', 'dki', 'jakarta', 'raih', 'medali', 'terbanyak']","['hasil', 'akhir', 'renang', 'pon', 'dki', 'jakarta', 'raih', 'medali', 'terbanyak']",hasil akhir renang pon dki jakarta raih medali banyak,Positif,[],[]
alam_daryah51,Pertandingan di PON 2024 tak pernah sepi dari aksi sengit dan dramatis! #PONKita2024,1,Pertandingan di PON tak pernah sepi dari aksi sengit dan dramatis,pertandingan di pon tak pernah sepi dari aksi sengit dan dramatis,pertandingan di pon tak pernah sepi dari aksi sengit dan dramatis,"['pertandingan', 'di', 'pon', 'tak', 'pernah', 'sepi', 'dari', 'aksi', 'sengit', 'dan', 'dramatis']","['pertandingan', 'pon', 'tak', 'pernah', 'sepi', 'aksi', 'sengit', 'dramatis']",tanding pon tak pernah sepi aksi sengit dramatis,Positif,[],['#PONKita2024']
indonews_xyz,@AzkaAksara Harapan kami setiap atlet PON 2024 berlomba dengan sportivitas! #PONKita2024,1,Harapan kami setiap atlet PON berlomba dengan sportivitas,harapan kami setiap atlet pon berlomba dengan sportivitas,harapan kami setiap atlet pon berlomba dengan sportivitas,"['harapan', 'kami', 'setiap', 'atlet', 'pon', 'berlomba', 'dengan', 'sportivitas']","['harapan', 'setiap', 'atlet', 'pon', 'berlomba', 'sportivitas']",harap tiap atlet pon lomba sportivitas,Positif,['@AzkaAksara'],['#PONKita2024']
zahra_sarfitri7,Ipda Joko Sutanto S.H. personel Sat Jibom Pasukan Gegana Korbrimob Polri berhasil menyumbangkan dua medali pada PON XXI Aceh-Sumut tahun 2024. Diketahui Ipda Joko berhasil mendapatkan medali emas dan medali perunggu pada cabang olahraga paramotor.,1,Ipda Joko Sutanto S H personel Sat Jibom Pasukan Gegana Korbrimob Polri berhasil menyumbangkan dua medali pada PON XXI Aceh Sumut tahun Diketahui Ipda Joko berhasil mendapatkan medali emas dan medali perunggu pada cabang olahraga paramotor,ipda joko sutanto s h personel sat jibom pasukan gegana korbrimob polri berhasil menyumbangkan dua medali pada pon xxi aceh sumut tahun diketahui ipda joko berhasil mendapatkan medali emas dan medali perunggu pada cabang olahraga paramotor,ipda joko sutanto s h personel sat jibom pasukan gegana korbrimob polri berhasil menyumbangkan dua medali pada pon xxi aceh sumut tahun diketahui ipda joko berhasil mendapatkan medali emas dan medali perunggu pada cabang olahraga paramotor,"['ipda', 'joko', 'sutanto', 's', 'h', 'personel', 'sat', 'jibom', 'pasukan', 'gegana', 'korbrimob', 'polri', 'berhasil', 'menyumbangkan', 'dua', 'medali', 'pada', 'pon', 'xxi', 'aceh', 'sumut', 'tahun', 'diketahui', 'ipda', 'joko', 'berhasil', 'mendapatkan', 'medali', 'emas', 'dan', 'medali', 'perunggu', 'pada', 'cabang', 'olahraga', 'paramotor']","['ipda', 'joko', 'sutanto', 's', 'h', 'personel', 'sat', 'jibom', 'pasukan', 'gegana', 'korbrimob', 'polri', 'berhasil', 'menyumbangkan', 'medali', 'pon', 'xxi', 'aceh', 'sumut', 'tahun', 'diketahui', 'ipda', 'joko', 'berhasil', 'mendapatkan', 'medali', 'emas', 'medali', 'perunggu', 'cabang', 'olahraga', 'paramotor']",ipda joko sutanto personel sat jibom pasu gegana korbrimob polri hasil sumbang medali pon xxi aceh sumut tahun tahu ipda joko hasil dapat medali emas medali perunggu cabang olahraga paramotor,Positif,[],[]
guntur_sonnyy27,PON 2024 BUKAN AJANG ADU FISIK SEMANGAT SPORTIVITAS TETAP HARUS DIJAGA #PONKita2024,1,PON BUKAN AJANG ADU FISIK SEMANGAT SPORTIVITAS TETAP HARUS DIJAGA,pon bukan ajang adu fisik semangat sportivitas tetap harus dijaga,pon bukan ajang adu fisik semangat sportivitas tetap harus dijaga,"['pon', 'bukan', 'ajang', 'adu', 'fisik', 'semangat', 'sportivitas', 'tetap', 'harus', 'dijaga']","['pon', 'bukan', 'ajang', 'adu', 'fisik', 'semangat', 'sportivitas', 'tetap', 'dijaga']",pon bukan ajang adu fisik semangat sportivitas tetap jaga,Positif,[],['#PONKita2024']
harjasa_mlnaa,Venue PON 2024 sudah siap dipakai suasana pertandingan pasti meriah #PONKita2024,1,Venue PON sudah siap dipakai suasana pertandingan pasti meriah,venue pon sudah siap dipakai suasana pertandingan pasti meriah,venue pon sudah siap dipakai suasana pertandingan pasti meriah,"['venue', 'pon', 'sudah', 'siap', 'dipakai', 'suasana', 'pertandingan', 'pasti', 'meriah']","['venue', 'pon', 'siap', 'dipakai', 'suasana', 'pertandingan', 'meriah']",venue pon siap pakai suasana tanding riah,Positif,[],['#PONKita2024']
VIVAbola,Menpora sebut acara penutupan PON 2024 adalah momentum untuk guyub,0,Menpora sebut acara penutupan PON adalah momentum untuk guyub,menpora sebut acara penutupan pon adalah momentum untuk guyub,menpora sebut acara penutupan pon adalah momentum untuk guyub,"['menpora', 'sebut', 'acara', 'penutupan', 'pon', 'adalah', 'momentum', 'untuk', 'guyub']","['menpora', 'sebut', 'acara', 'penutupan', 'pon', 'momentum', 'guyub']",menpora sebut acara tutup pon momentum guyub,Netral,[],[]
PONXXIAcehSUMUT,pemain muda terus kasih kejutan di PON 2024 nggak ada yang bisa nahan laju dia! #PONKita2024,1,pemain muda terus kasih kejutan di PON nggak ada yang bisa nahan laju dia,pemain muda terus kasih kejutan di pon nggak ada yang bisa nahan laju dia,pemain muda terus kasih kejutan di pon tidak ada yang bisa nahan laju dia,"['pemain', 'muda', 'terus', 'kasih', 'kejutan', 'di', 'pon', 'tidak', 'ada', 'yang', 'bisa', 'nahan', 'laju', 'dia']","['pemain', 'muda', 'terus', 'kasih', 'kejutan', 'pon', 'ada', 'bisa', 'nahan', 'laju']",main muda terus kasih kejut pon ada bisa nahan laju,Positif,[],['#PONKita2024']
gara_prasasta,@imwintmr Lampung berhasil menembus 10 besar di PON XXI Aceh Sumut 2024 #PONKita2024,1,Lampung berhasil menembus besar di PON XXI Aceh Sumut,lampung berhasil menembus besar di pon xxi aceh sumut,lampung berhasil menembus besar di pon xxi aceh sumut,"['lampung', 'berhasil', 'menembus', 'besar', 'di', 'pon', 'xxi', 'aceh', 'sumut']","['lampung', 'berhasil', 'menembus', 'besar', 'pon', 'xxi', 'aceh', 'sumut']",lampung hasil tembus besar pon xxi aceh sumut,Positif,['@imwintmr'],['#PONKita2024']
indonews_xyz,@MyValentine_for Dari PON 2024 kita bangga menyambut lahirnya generasi baru atlet unggulan! #PONKita2024,1,Dari PON kita bangga menyambut lahirnya generasi baru atlet unggulan,dari pon kita bangga menyambut lahirnya generasi baru atlet unggulan,dari pon kita bangga menyambut lahirnya generasi baru atlet unggulan,"['dari', 'pon', 'kita', 'bangga', 'menyambut', 'lahirnya', 'generasi', 'baru', 'atlet', 'unggulan']","['pon', 'bangga', 'menyambut', 'lahirnya', 'generasi', 'baru', 'atlet', 'unggulan']",pon bangga sambut lahir generasi baru atlet unggul,Positif,['@MyValentine_for'],['#PONKita2024']
